Initial Office	End Office	Straight Line Distance
1				2			13
1				3			15
1				4			19
1				5			25
1				6			20
1				7			35
1				8			32
1				9			34
1				10			37
1				11			42
1				12			40
2				1			13
2				3			11
2				4			7
2				5			10
2				6			8
2				7			21
2				8			19
2				9			18
2				10			24			
2				11			26
2				12			25
3				1			15
3				2			11
3				4			12
3				5			11
3				6			7
3				7			23
3				8			22
3				9			31
3				10			30
3				11			34
3				12			33
4				1			19
4				2			7
4				3			12
4				5			6
4				6			10
4				7			20
4				8			18
4				9			16
4				10			22			
4				11			26
4				12			24
5				1			25
5				2			10
5				3			11
5				4			6
5				6			4
5				7			10
5				8			4
5				9			12
5				10			8
5				11			13
5				12			12
6				1			20
6				2			8
6				3			7
6				4			10
6				5			4
6				7			9
6				8			7
6				9			11
6				10			9
6				11			15
6				12			13
7				1			35
7				2			21
7				3			23
7				4			20
7				5			10
7				6			9
7				8			4
7				9			12
7				10			17
7				11			21
7				12			3
8				1			32
8				2			19
8				3			22
8				4			18
8				5			4
8				6			7
8				7			4
8				9			5
8				10			2
8				11			7
8				12			5
9				1			34
9				2			18
9				3			31
9				4			16
9				5			12
9				6			11
9				7			12
9				8			5
9				10			8
9				11			15
9				12			22
10				1			37
10				2			24
10				3			30
10				4			22
10				5			18
10				6			9
10				7			17
10				8			2
10				9			8
10				11			2
10				12			4
11				1			42
11				2			26
11				3			34
11				4			26
11				5			13
11				6			15
11				7			21
11				8			7
11				9			15
11				10			2
11				12			19
12				1			40
12				2			25
12				3			33
12				4			24
12				5			12
12				6			13
12				7			3
12				8			5
12				9			22
12				10			4
12				11			19
